Employee_ID,Attrition_rate
EID_22713,0.2145458282441035
EID_9658,0.18730267944569223
EID_22203,0.18405347900721503
EID_7652,0.24161945040855937
EID_6516,0.20301221989688256
EID_20283,0.16594067995021833
EID_21014,0.20964061164857628
EID_7693,0.19859104180913345
EID_13232,0.19516074024904906
EID_6515,0.24145753807540293
EID_13639,0.18495328108022446
EID_14669,0.1836509840226206
EID_16537,0.1909897072349046
EID_5782,0.17995008877806462
EID_20157,0.20080032600687503
EID_1855,0.15686866643033048
EID_20748,0.21803886535482953
EID_23179,0.19712488562186337
EID_12838,0.1779017909533147
EID_21656,0.1723289533590192
EID_8844,0.17656240772615206
EID_1536,0.1973307553773438
EID_8822,0.1838856839019124
EID_11398,0.18927472417237434
EID_12965,0.21250551053047384
EID_5204,0.2079578772713636
EID_10030,0.21939468018638741
EID_13227,0.17122477464243158
EID_20607,0.19830051379428681
EID_14070,0.1917272265843637
EID_3755,0.18679066944729783
EID_5459,0.22393303016184452
EID_7697,0.1840118994144574
EID_3935,0.18337539978413508
EID_19046,0.19290831309218148
EID_4040,0.18040011090054298
EID_17730,0.17550612418399203
EID_4995,0.184536810938272
EID_24653,0.18266269635178134
EID_6978,0.16690725950353547
EID_13775,0.18999443948205996
EID_14608,0.18546235084390372
EID_3148,0.19748393709416578
EID_24868,0.22022998448761277
EID_5521,0.1753727838226148
EID_21155,0.2028680251730376
EID_3840,0.18774997068015653
EID_10646,0.19264056317438727
EID_6711,0.2123738819233637
EID_16247,0.1788058830901471
EID_16789,0.21316426361067797
EID_17967,0.17955115691960033
EID_13270,0.19737817317006723
EID_18462,0.17688995903131888
EID_22248,0.20190496594703877
EID_22693,0.19445349441118043
EID_25662,0.20694542842980035
EID_23346,0.19316078866678188
EID_4437,0.19459762207682185
EID_18108,0.16943230634306772
EID_7000,0.19093891210115566
EID_22770,0.20975717802323535
EID_7816,0.18388671972991621
EID_19615,0.1906175329656412
EID_23807,0.2079211542652919
EID_16764,0.19170771060817804
EID_16818,0.20387520612874088
EID_22712,0.17904265787818685
EID_18198,0.21550041639381956
EID_11154,0.23157248447248935
EID_22137,0.20968565183837862
EID_11655,0.1847179575918394
EID_18514,0.21977630973400486
EID_24742,0.19085888990133726
EID_16019,0.1936401282247453
EID_7357,0.1877591673966268
EID_20106,0.1859900262747749
EID_13284,0.20903666224780182
EID_5451,0.16354583925881216
EID_19728,0.1880623596817168
EID_9178,0.18186266164400045
EID_13177,0.16675632480586666
EID_14300,0.21044670713917968
EID_4379,0.16931258561092621
EID_11285,0.18989292045820183
EID_14882,0.21396294918857361
EID_9969,0.18044501986122485
EID_23643,0.16967636167067746
EID_5935,0.19461490237391932
EID_7741,0.18547640761522277
EID_6176,0.202253788285353
EID_5418,0.20313888253505408
EID_20626,0.22180580279375506
EID_1725,0.2083868219641819
EID_14317,0.22086260057699647
EID_12120,0.19298618845923
EID_20264,0.15765474879050823
EID_16691,0.16343420568706157
EID_1093,0.16353816995216675
EID_2565,0.181744414199547
EID_11463,0.18865306937935833
EID_12005,0.18113653426813214
EID_10326,0.1825361124668099
EID_12582,0.1971409702719027
