Employee_ID,Attrition_rate
EID_22713,0.18880765641595293
EID_9658,0.1852634219798868
EID_22203,0.18452463339468028
EID_7652,0.18751156201287666
EID_6516,0.18965728545967714
EID_20283,0.1927634784087195
EID_21014,0.1897016216430842
EID_7693,0.1902230151498752
EID_13232,0.19425376529008062
EID_6515,0.18671469302488783
EID_13639,0.18857651711816217
EID_14669,0.18868100272120578
EID_16537,0.19405218344789457
EID_5782,0.185113565685009
EID_20157,0.18593999212860254
EID_1855,0.1793033089628693
EID_20748,0.18760126888811793
EID_23179,0.18921717495579912
EID_12838,0.19193705196512592
EID_21656,0.19288274273956546
EID_8844,0.1862608383016346
EID_1536,0.1850766188655031
EID_8822,0.1818807190412195
EID_11398,0.1906705150176544
EID_12965,0.19373976114719083
EID_5204,0.1898884247574679
EID_10030,0.19017867896646812
EID_13227,0.18920978559189794
EID_20607,0.19204153756816955
EID_14070,0.18995492903257852
EID_3755,0.1856275698278988
EID_5459,0.18372776440669147
EID_7697,0.18824192672575488
EID_3935,0.18833163360099614
EID_19046,0.19428332274568536
EID_4040,0.18598536282043673
EID_17730,0.1888150457798541
EID_4995,0.18872637341303997
EID_24653,0.19325531445990574
EID_6978,0.18722130780387647
EID_13775,0.1909903266822593
EID_14608,0.1867590292082949
EID_3148,0.18499430135416303
EID_24868,0.18959713604004058
EID_5521,0.1855906230083929
EID_21155,0.1921302099349837
EID_3840,0.18969526678761015
EID_10646,0.1867294717526902
EID_6711,0.18479271951197696
EID_16247,0.19338935751855407
EID_16789,0.19568390275180525
EID_17967,0.18869578144900814
EID_13270,0.1909164330432475
EID_18462,0.18998448648818325
EID_22248,0.19264421407787352
EID_22693,0.188607109082194
EID_25662,0.18553786295265753
EID_23346,0.19338935751855407
EID_4437,0.18579959421448014
EID_18108,0.1904689331754683
EID_7000,0.18740707640983306
EID_22770,0.19504324491416827
EID_7816,0.18759387952421674
EID_19615,0.19312866076515858
EID_23807,0.1834596782893948
EID_16764,0.1952965523036626
EID_16818,0.18920239622799676
EID_22712,0.1904773570477966
EID_18198,0.19376192923889438
EID_11154,0.18865144526560107
EID_22137,0.19313605012905977
EID_11655,0.18873376277694115
EID_18514,0.19265160344177468
EID_24742,0.1908858410792157
EID_16019,0.18895647820240363
